Activity,100000156_at,393484_at,559856_at,561790_at,559475_at,431764_at,327588_at,494573_at,100004700_at,100148803_at,360208_at,393556_at,550419_at,100331270_at,322412_at,431765_at,568482_at,246092_at,562304_at,447925_at,100005071_at,368352_at,334438_at,322451_at,449556_at,100004231_at,100002805_at,553530_at,555679_at,558919_at,100005016_at,100006523_at,566996_at,558816_at,100124622_at,368924_at,100006428_at,100038777_at,100170833_at,553552_at,541344_at,436823_at,393511_at,550580_at,436734_at,100126128_at,573111_at,492500_at,100151256_at,334459_at,406452_at,553169_at,563265_at,566702_at,564241_at,325886_at
Toxic,10.74720805,5.435346557,2.653671994,4.812619407,1.898349619,8.866841169,4.67559954,6.023831861,8.207534042,8.452718152,8.832921427,7.794553902,10.0193278,6.461390216,9.349508861,7.43665123,8.358094496,10.46007963,7.051954654,5.72563694,3.598165309,8.444227863,5.776442468,10.46703432,7.819501293,8.233406309,5.134050761,6.520603778,4.993430955,6.795512147,2.754963071,3.20119298,4.690216996,4.720024253,2.929663818,5.517931228,2.113622185,5.214139429,3.565615556,3.369999994,5.450112328,4.687096349,5.950156029,5.921696317,4.714368379,1.736077826,5.921341842,6.972912335,5.710601577,6.604330439,6.238612671,5.753396629,4.918082509,6.985979104,3.66778122,6.922558168
Toxic,3.849854919,3.307236756,7.501161748,5.288697603,6.899361345,6.682301615,2.210383897,6.706334774,5.066699586,4.599557823,7.883577519,4.383152716,7.372020391,4.817608134,6.868298126,7.03688497,5.809266152,8.646643035,2.521822348,3.180811687,4.313307966,5.62119558,4.508062982,7.861911419,6.289536498,6.6508496,4.764763551,5.19781056,3.066825919,3.947865459,2.669151815,3.332465088,3.011700066,3.759871618,1.808623598,5.741297132,3.297611236,4.294955241,3.400993109,3.144540603,5.040855012,4.240279698,5.738075305,5.14367695,4.284700144,1.837045705,4.709227038,4.104696197,4.330385731,4.570850204,5.331331603,3.948564203,4.33637179,5.258813117,5.511006889,5.142009915
Toxic,9.537490863,6.003084404,2.402831397,6.347466921,1.626896823,6.680879862,3.034473806,5.638215666,6.099754533,7.362926784,8.51414148,7.297299828,8.317185024,4.385059135,7.519785852,6.436431495,7.748966139,9.060210506,5.824506231,4.935983801,3.190704178,7.679003887,4.722134365,9.032687742,5.525890685,9.039496433,4.994201737,4.585433938,3.370922705,6.198156578,2.413192857,3.094524962,4.569291458,4.903151941,2.233961828,7.396666586,2.975944823,4.804835794,3.102498705,3.777190993,5.175899462,4.811093693,4.8852013,5.54596162,4.850997068,1.777726803,4.6421778,5.867968428,5.210727298,5.328534353,5.314671363,5.402515069,5.017590156,6.814666743,4.840757961,4.376936072
Toxic,7.236612301,3.2471433,5.618778975,9.031121049,5.210928858,9.937165688,2.002616897,5.945471465,7.696057639,7.244661128,8.33002953,6.266188356,10.82614719,7.606925541,10.17178418,7.433517514,6.876756165,11.14318641,5.860040595,7.029873958,4.47044561,7.351763035,6.462433442,10.69409154,7.232667325,9.482295967,6.138767045,5.356229755,5.963858488,7.64894405,2.804533591,2.792027935,3.374065785,4.375725349,2.101156423,3.850863721,2.212271548,5.488752022,3.224350546,3.597204606,5.45277196,4.923280318,5.568013311,6.215142488,4.916760569,1.614469391,5.240552199,6.757335185,6.262271699,6.641934256,6.50965437,5.585413965,4.7256776,8.5780182,7.004857759,8.214702792
Toxic,4.737294152,2.465874811,2.455247761,5.518002274,1.781316974,7.218579784,1.984104236,6.293835123,4.3840874,5.511368941,8.177320035,5.863804484,8.22894814,5.27181657,7.45513781,7.673290945,6.216935266,9.202605019,4.697157819,4.714950916,4.110723058,6.094596425,5.503621178,8.87420784,5.664293742,8.040480339,5.038597518,4.458989166,3.591116247,5.375799942,2.428569946,2.717634253,3.051242019,3.890218185,2.068843043,6.589611927,2.666508511,4.41612606,3.240204796,3.002232134,5.039878455,4.228846912,5.020724255,5.329847445,4.247699534,1.623101507,4.517894169,5.100231164,4.921915907,4.93121924,5.303929341,4.730779345,4.661207992,5.849125456,3.812607336,5.627155313
Toxic,4.765256669,3.110945407,2.54293096,5.155831354,2.036477876,5.883346612,2.898381048,6.537108419,4.941900375,4.701956263,7.655680171,4.983401365,6.999613903,3.55727029,6.806831037,7.841610017,6.083326088,7.4849016,3.740544776,4.392262338,4.185070515,5.206273172,4.239441272,7.369423446,4.143159568,5.786609884,2.508681453,4.341343018,3.694660444,4.716749726,3.228201812,2.300286535,2.944909518,4.754352832,2.185895725,7.584768774,2.385043566,4.323504416,3.730611433,3.675554063,4.922563804,4.390051651,4.907202117,5.352884165,4.150010324,2.204962971,4.686867975,4.841831989,4.983203303,5.057530532,4.924317812,4.343121472,4.654227216,5.258919773,6.052464286,4.83516009
Toxic,5.672881489,3.217130558,2.608374518,5.250985117,2.113309462,9.714006004,3.408839432,6.08559283,6.619867941,7.471359716,7.432259914,7.036513566,10.71311473,6.656215098,9.875565309,8.043297492,7.640441608,11.0452589,5.226478456,7.129004337,4.122687145,7.145809163,6.304066485,10.57640679,7.198110963,7.320980366,6.78589448,6.316173156,5.427174472,7.046769404,6.803398219,6.636244238,7.450628978,7.74791686,6.289136002,8.273008724,5.530902892,7.909992547,4.929244791,5.053293909,7.634578527,5.781891332,5.330443166,7.405229489,6.587988038,2.29013909,6.551525305,7.907644073,7.069654183,7.092251921,6.973726884,6.752457759,6.34435471,8.193237915,7.372816626,8.220252996
Toxic,4.084099565,2.17780799,2.903020115,5.805352852,3.871622316,5.262546349,2.415866966,4.771085964,4.10002569,5.594667856,7.775295985,4.87653545,7.101975715,2.371917918,6.138339238,6.231677428,5.801142649,8.132459318,3.499898536,4.375312423,3.761905094,4.820115384,4.709689271,7.64006747,3.561575573,6.699682612,4.97537445,4.568161445,2.538280332,4.691080491,3.097506391,3.924880056,2.546574294,6.144911253,2.474895127,7.946326852,3.531565439,4.385866511,3.630041642,3.764041937,5.71603548,5.058786582,4.976034215,5.003208532,4.666277634,1.933038812,4.183883655,4.634806988,4.720859682,4.079025795,5.066649453,4.769201023,4.314347736,5.493280075,5.653617307,3.844214443
Toxic,7.536888822,3.869560684,3.765345382,4.601100632,2.410854571,8.734879882,2.582873167,6.083567098,5.565624052,6.408518204,8.421085312,6.193459821,9.823375919,6.005807984,9.31045991,7.655040645,6.765797998,9.876781937,4.974506476,5.191018065,3.626713288,7.042862855,5.2091088,10.31052086,7.002788738,9.072741427,6.298929556,5.362934531,3.659298551,6.286573681,2.850857504,2.75515043,3.258518463,4.269883464,2.22644789,7.82026693,2.676332354,4.929856699,3.198229629,3.274009388,5.567173675,4.88330454,4.992622411,6.018748422,4.644770881,1.667365637,4.848574514,5.918703102,5.686234032,6.721266758,5.948136382,5.25132459,4.352544283,7.481626989,5.612053285,7.356452146
Toxic,6.080626962,2.623894207,2.581384911,4.804983536,2.196835098,9.411267117,2.247350764,5.912101699,4.681891004,6.944958122,8.472444813,6.025535695,10.47167462,6.140525202,9.815793074,7.454378375,6.767614906,10.62959922,5.855524328,6.900086761,4.016193851,6.870256442,6.051519573,10.5032459,6.948749744,8.224353968,5.856235486,5.920092847,5.881305878,6.974459993,4.891135425,5.441092062,3.978761892,7.323460564,2.566972418,8.239850284,4.167079697,6.376090324,4.29322988,3.814239713,5.752109886,5.075439688,5.252826728,6.314127669,5.130896401,2.743920799,4.958922593,6.595707818,5.628502283,6.824237985,6.107412826,5.899064284,5.244478134,7.565052474,5.915479187,6.816849336
Toxic,3.719498765,2.896442557,2.501346891,6.5627094,2.012282015,5.242515409,2.596116452,6.634184119,4.714159474,4.650517339,6.599580516,4.629903297,5.925092525,2.174306139,5.936784777,8.268719455,5.693729904,7.077783018,2.440899605,3.326271989,4.944309937,3.922520476,4.138065634,6.852075168,4.290186489,5.815511777,4.025234472,4.008687908,3.400644457,4.237581795,2.82627666,1.932997661,2.661673659,3.783108024,2.142380527,7.739735529,2.30251279,3.64782468,3.256890471,3.403902166,4.493582243,4.254561349,4.67851378,4.867708931,3.916302885,1.841828336,5.103667162,3.959122135,4.260137965,3.578366869,4.750189407,4.316444223,4.177825334,4.866469979,5.69554578,3.361157428
Toxic,4.737484492,2.950277968,3.20131212,6.817524581,2.567292818,5.426682327,3.010045091,6.470581464,5.168853287,4.140850648,7.266407238,5.349494223,7.300261949,4.070870021,6.54337007,7.468237706,5.984019864,8.544600101,3.511919349,4.253718994,4.316864319,4.661396979,4.737601453,7.538913776,4.355579932,8.166843987,4.999132272,4.330937696,3.302399917,5.046332145,2.831539067,2.393749385,2.657961374,4.504957885,1.761189679,6.15266884,1.649808322,4.480725893,3.585885367,3.313696973,4.866989126,4.634284122,4.844757293,5.248103548,4.143007417,1.595003178,4.902032424,4.165658147,4.267554513,3.896213269,5.348741706,4.185126352,4.258147519,5.531820238,5.021662156,4.330978919
Toxic,2.396708032,2.946316714,2.64006775,5.104869395,2.235662058,5.495493995,2.407023324,6.054229162,4.377242264,4.691125874,6.820696962,4.399816237,6.743511288,2.097938201,6.445976384,7.735702814,6.229137297,8.042017026,3.82057291,4.382504397,4.115929258,4.814869411,4.579554094,7.609301476,4.449859979,6.781371083,4.415419189,4.286944213,4.050751142,4.449490013,5.217290108,4.793932703,3.300124062,6.775864373,2.721845159,7.916556219,3.852920883,6.456806597,4.984911255,3.944665041,6.272449601,4.746562668,5.313413928,5.805444537,4.426696809,2.298037984,5.175436402,4.584570272,4.950616662,4.694341445,4.970851218,4.540862863,4.732787232,6.319359052,6.825461898,3.907708248
