Activity,100000156_at,393484_at,559856_at,561790_at,559475_at,431764_at,327588_at,494573_at,100004700_at,100148803_at,360208_at,393556_at,550419_at,100331270_at,322412_at,431765_at,568482_at,246092_at,562304_at,447925_at,100005071_at,368352_at,334438_at,322451_at,449556_at,100004231_at,100002805_at,553530_at,555679_at,558919_at,100005016_at,100006523_at,566996_at,558816_at,100124622_at,368924_at,100006428_at,100038777_at,100170833_at,553552_at,541344_at,436823_at,393511_at,550580_at,436734_at,100126128_at,573111_at,492500_at,100151256_at,334459_at,406452_at,553169_at,563265_at,566702_at,564241_at,325886_at
Toxic,6.898105891,2.600337478,2.651128974,4.52532234,2.681491467,10.13066131,2.201117441,5.410170939,5.953289602,7.225311887,8.58260479,6.033094967,10.79316267,6.006239611,10.6081297,7.750222983,6.771909356,10.94478418,6.534097445,7.129484154,2.392656061,7.182084095,6.364072792,10.49186915,6.779079012,8.659466455,6.438516187,6.185777023,6.037357458,7.750918359,3.059826141,3.02823961,3.656025861,4.637437136,2.145100319,8.075507909,2.675793699,5.665690036,3.111357645,3.26694974,5.991753931,4.844422399,5.622754351,6.056018235,5.052796512,1.943496224,5.71173516,6.266547218,6.07362547,7.427450266,5.935508832,5.415017039,4.923968537,8.071725387,6.129187939,7.744267993
Toxic,5.336517397,2.508478998,2.817003014,5.695673273,3.377453199,7.656754282,2.589901399,6.323963108,5.173992248,5.398682255,6.313770693,5.483373075,9.390957991,4.243923965,8.337619077,8.207626657,6.432548986,9.72282586,4.686219426,4.306533313,5.447266843,6.081095513,5.492097537,9.542849632,5.563990557,5.853822072,4.151598411,5.16210378,3.453163846,5.609368891,4.1522117,5.410763942,4.095916806,7.196320579,3.07816882,8.106550793,3.933332681,5.851357714,4.882180756,4.793920726,6.114191318,4.702403588,5.013852365,6.113991961,4.935549342,3.227946642,5.061494502,6.108254507,5.036441184,4.710172999,5.347287334,4.986425529,5.010076259,4.870293964,5.39807682,5.91064605
Non-Toxic,6.653285486,2.716543903,2.84577799,4.219276172,2.174671362,9.657784631,2.581571495,6.070064503,5.986208103,6.733831352,8.629577894,6.005144362,10.58457095,6.127971544,9.84934108,8.037911218,6.553249306,10.7350575,5.406282698,6.258128224,3.421506505,6.91743375,6.11548988,10.42554529,6.60275974,8.248196096,5.459040988,6.088603056,5.673630323,7.043130583,2.591986537,3.032904795,3.79346706,4.488434419,2.663494516,8.026752038,2.254239635,5.133048031,3.145602871,2.878856441,5.566334787,4.038786062,5.694030297,5.517208902,4.901924622,2.055047835,4.968035057,6.321950913,5.376125241,7.32620451,5.889303432,5.307964709,4.650926517,7.704853558,5.769094832,7.692338634
Non-Toxic,6.0642627,3.130298311,2.460222236,4.355243827,1.975400444,9.685072543,2.921399501,6.368156115,5.983938281,4.697516124,8.185380112,5.696089928,10.13550925,6.510854658,9.894040245,8.275819746,6.409784463,10.64638381,5.536862947,6.348190322,3.479551912,6.393396741,5.844709998,10.31151193,6.354439488,7.40404759,6.326142334,6.130718099,4.911423387,6.541450826,2.910622175,2.789402957,3.364795248,4.505812028,1.93031787,8.185470009,1.544257195,4.763906388,3.158764162,3.557252903,4.868777229,4.460551803,5.440079076,5.46827565,4.400679077,1.639465763,4.39659289,5.670701118,5.367461173,6.508123662,5.706824351,5.214591398,4.497965986,6.941891222,7.000800246,7.397088852
Toxic,4.433565704,3.237801232,2.813865838,4.40536071,2.027109613,8.388587632,2.2337152,5.274985635,4.794822494,6.14764568,6.530575774,5.806395793,9.34525091,5.72327306,8.567586214,6.992698328,7.319945814,8.816615494,5.032950038,5.319795925,4.046447092,6.369783313,5.737634501,9.840479446,5.785228133,8.108191384,5.143862136,5.395552403,4.182562755,5.758949293,6.384503842,7.162069395,6.483697053,8.164344454,4.858714572,6.740403478,4.560319497,7.269271467,5.375480321,5.341414272,6.903773737,6.034956175,5.129005466,6.678340743,6.010340293,3.059735514,5.961702735,7.056109124,6.051640913,5.826017793,6.702274421,6.087989477,5.767576259,5.541178835,5.945055074,5.934017185
Toxic,3.676213692,3.075188852,2.881960495,4.281452289,2.683389258,7.23340301,2.944948216,3.886425643,4.389467712,4.396389944,8.331621617,5.095189593,8.012551341,3.633292346,7.361037642,5.849561895,5.785671739,8.466820759,5.196578148,4.250752296,3.323559018,6.034088369,4.895785055,8.357749196,4.620291966,7.34473853,6.158020786,5.346928504,3.097892308,4.357545867,2.861955559,2.841379025,3.052128846,4.369897051,2.241708259,6.257702545,2.577441804,4.196221967,3.266233366,3.367401536,5.695273569,5.207798005,5.428012844,5.394432453,4.806774151,2.109425919,4.82061171,4.925246565,5.538797317,5.934942078,5.580737045,4.475922254,4.448947368,5.364145876,4.417416102,5.26462928
Non-Toxic,4.094339941,2.942958157,2.731092986,4.210179759,2.060513908,7.222183975,2.396537887,6.591140451,4.669048078,5.082957459,8.225399571,5.051849835,8.381407376,5.066086439,7.540265211,8.092671123,6.38533952,9.154972136,3.354086668,4.338865961,3.317599797,5.76404099,4.707637897,8.831398383,5.035044315,7.619468968,5.926469127,4.954085619,2.74301768,4.942634339,2.581018851,2.979374638,2.827456484,3.9821301,2.002796397,6.830087068,2.233930558,4.275379081,2.946255538,3.753113226,5.101969361,4.305695784,5.437615554,5.326350171,4.152615854,1.668541082,4.362534159,4.746502494,4.818550625,5.589453214,5.287495316,4.053416981,4.74079515,5.994085695,4.473839441,5.661300215
Toxic,7.427952339,2.897746212,2.337947774,4.343542437,2.01265532,10.20198409,2.152855769,6.185659366,4.508617952,7.349566857,8.786562662,5.977172286,10.7437753,6.405524339,10.22830018,8.381972645,6.777651303,10.64948634,6.167211959,7.098868562,1.694965494,7.282001802,5.904939124,10.57117112,7.293878821,8.150015455,6.350588356,6.051617939,5.724255415,7.552021867,2.90825462,3.020753063,3.935274567,5.184534717,2.680991888,7.565865474,2.411142639,5.677539326,3.564816156,3.841584084,5.58110411,5.148462477,5.48082429,5.924111549,5.174890087,2.109376393,5.217641686,6.655493836,6.061964949,8.294503267,6.230670216,5.601741769,4.671091495,8.143966462,4.424707333,7.852740113
Toxic,4.038283409,2.805431072,3.458881451,4.834911069,2.738290981,5.36622186,2.70686041,5.477729565,6.344780305,5.045981283,6.663200554,5.287717635,7.074059617,3.491176909,6.084450159,7.752128811,5.823269267,7.64960289,5.179670322,3.644468197,5.474127077,4.253632155,5.135133862,7.265052754,4.593788365,5.218497905,2.200791298,3.813783135,3.698753098,4.251827711,2.890301242,2.687026803,2.810613052,3.804324033,2.142642917,8.304936521,2.312141423,4.335051838,3.177821246,3.262115506,4.699779292,4.798559108,4.42459371,5.148663837,4.211539893,1.819026809,4.70628796,4.109667028,4.849038976,3.605912668,6.310893969,4.425522072,4.330269226,4.659353692,5.944890898,4.261235565
Toxic,8.401174037,4.352326679,2.761569598,7.81639122,2.624200613,5.739557461,2.650542541,5.317502205,5.884534428,6.092560745,8.050610662,6.902934997,7.121884766,3.252018937,6.492344046,5.858122142,7.706704344,7.982973281,5.944094824,4.461934412,2.95434873,7.202916326,3.903861823,7.631461416,5.41104434,7.712230024,3.952060057,4.403845496,3.54656425,5.149475828,2.782860375,2.744600306,3.94743768,4.823240255,2.181552955,7.249994388,2.244470029,4.283778258,3.195563201,3.573899103,5.152319774,4.4128235,5.483168644,6.215697193,4.420962568,1.910229656,5.654229298,5.322429236,5.192804181,4.2671841,5.767357782,4.561982643,5.076978226,5.664416195,6.08206099,4.268887278
